<pad> day math tutor head life <eos>
<pad> leaves yard day mom home <eos>
<pad> wanted day nervous time year <eos>
<pad> car day started home <eos> he
<pad> bakery day baker put happy <eos>
<pad> prom asked dress date stores <eos>
<pad> park day game good team <eos>
<pad> car license test accident driver <eos>
<pad> hurricane rain rained wind soaked <eos>
<pad> birthday wanted friends day home <eos>
<pad> horses horse brushed day <eos> improved
<pad> braces started put hurt <eos> he
<pad> job day looked found home <eos>
<pad> day wanted decided thought home <eos>
<pad> wanted day decided back home <eos>
<pad> work day decided back left <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> swim pool swimming swam scared <eos>
<pad> trip day lot finally fun <eos>
<pad> tom day started work <eos> to
<pad> power day car decided home <eos>
<pad> pet snake house kitten adopt <eos>
<pad> gina day started time home <eos>
<pad> wanted day decided finally back <eos>
<pad> allie sudden flight airport <eos> anything
<pad> jacket money find put i <eos>
<pad> tom day decided man home <eos>
<pad> fred day asked decided i <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> job jobs resume interview sales <eos>
<pad> job day gym home work <eos>
<pad> hungry snack soup made cookies <eos>
<pad> restaurant food eating ate eat <eos>
<pad> phone phones dropped silent screen <eos>
<pad> netflix wanted lot back left <eos>
<pad> tom day made lot home <eos>
<pad> car dishwasher dishes clean home <eos>
<pad> bake pie pies baked cookies <eos>
<pad> john day decided work home <eos>
<pad> movie wanted theater movies decided <eos>
<pad> day wanted decided home back <eos>
<pad> park suddenly fell branch knees <eos>
<pad> wear clothes put drink wash <eos>
<pad> day decided cream made home <eos>
<pad> gina day started time home <eos>
<pad> army wanted day time proud <eos>
<pad> ghost house day screamed left <eos>
<pad> day wanted decided home back <eos>
<pad> ball day friends people left <eos>
<pad> doctor day painful hurt home <eos>
<pad> hungry kitchen food home back <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> lessons learn tutor class teacher <eos>
<pad> dog day shelter sick home <eos>
<pad> day funeral found eventually life <eos>
<pad> wanted day decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> glasses day feared wore happy <eos>
<pad> wanted day decided home back <eos>
<pad> john looked paper restroom fix <eos>
<pad> hotel money arrived repairs happy <eos>
<pad> day wanted decided home back <eos>
<pad> dinner ingredients cooked food eat <eos>
<pad> day wanted decided home back <eos>
<pad> headphones music loud day decided <eos>
<pad> election day running game back <eos>
<pad> job day home decided family <eos>
<pad> friends school party made year <eos>
<pad> anita house day found home <eos>
<pad> pregnant doctor tests day home <eos>
<pad> john bike rode day home <eos>
<pad> babysit nervous day excited performance <eos>
<pad> cabin fire house ran home <eos>
<pad> halloween costume day home night <eos>
<pad> wanted day table proud back <eos>
<pad> prank day decided put ended <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day time decided home <eos>
<pad> phone phones dropped silent screen <eos>
<pad> cook toast toaster forgot burnt <eos>
<pad> car oil change put home <eos>
<pad> day wanted decided home back <eos>
<pad> house grandma bedroom clean home <eos>
<pad> sleep night work finally turned <eos>
<pad> wanted decided day contacts costume <eos>
<pad> car dirt clean cleaned home <eos>
<pad> day wanted decided home back <eos>
<pad> day funeral found eventually life <eos>
<pad> park lost find back woods <eos>
<pad> divorce day wife love filed <eos>
<pad> job day decided lot man <eos>
<pad> netflix day lot back tom <eos>
<pad> award day time won team <eos>
<pad> day decided made back home <eos>
<pad> rice cooked resolved eat i <eos>
<pad> sam money store bought left <eos>
<pad> dog shelter collar adopt home <eos>
<pad> laptop needed bought buy loved <eos>
<pad> work day decided man <eos> someone
<pad> car day bat lot home <eos>
<pad> friend day ate decided left <eos>
<pad> day wanted decided home back <eos>
<pad> school day friends year home <eos>
<pad> day wanted decided home back <eos>
<pad> apples day trees delicious home <eos>
<pad> day wash water doctor <eos> it
<pad> fishing day tank fish home <eos>
<pad> cat day cats home adopt <eos>
<pad> beach day water time home <eos>
<pad> restaurant hungry food ate home <eos>
<pad> arm day broken broke hospital <eos>
<pad> plane nervous airplane day happy <eos>
<pad> dress money day wear found <eos>
<pad> wanted decided day happy love <eos>
<pad> shoes found feet pair home <eos>
<pad> pregnant sleep loud hospital back <eos>
<pad> aquarium day decided home wait <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day asked finally home <eos>
<pad> house day kids decided family <eos>
<pad> pool swim day swimming home <eos>
<pad> car day decided found home <eos>
<pad> cold freezing day work tom <eos>
<pad> job phone service terrible back <eos>
<pad> car drive night sleep home <eos>
<pad> laptop day bought buy home <eos>
<pad> friend house friends lost friendship <eos>
<pad> phone dropped phones ground screen <eos>
<pad> school snow day closed home <eos>
<pad> restaurant food ate eating home <eos>
<pad> friend house friends day friendship <eos>
<pad> car money lot found home <eos>
<pad> friends party throw made home <eos>
<pad> carnival games day year end <eos>
<pad> day wanted decided home back <eos>
<pad> television wanted buy home tom <eos>
<pad> day wanted decided home back <eos>
<pad> john phone call answer hung <eos>
<pad> wanted day decided finally back <eos>
<pad> day wanted decided thought home <eos>
<pad> ride house hill top stop <eos>
<pad> job needed day put home <eos>
<pad> wanted nails finally back decided <eos>
<pad> phone dropped falls day service <eos>
<pad> house day decided back home <eos>
<pad> cold day work back hospital <eos>
<pad> letter day envelope home father <eos>
<pad> tom day started work home <eos>
<pad> tornado day basement heard home <eos>
<pad> dinner food decided meal home <eos>
<pad> car drive gas back drove <eos>
<pad> surgery doctor day hospital back <eos>
<pad> movie scary scared movies time <eos>
<pad> truck day door finally home <eos>
<pad> stain shirt put back home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided thought home <eos>
<pad> friends day lot put home <eos>
<pad> friends day big decided home <eos>
<pad> wanted day decided home back <eos>
<pad> puppy dog sick vet medicine <eos>
<pad> award day time won team <eos>
<pad> car drive day home happy <eos>
<pad> wanted day work decided back <eos>
<pad> day wanted decided home back <eos>
<pad> nightmare sleep night decided <eos> it
<pad> wanted day decided lot home <eos>
<pad> wanted win game won proud <eos>
<pad> house day kids decided family <eos>
<pad> wanted day started make happy <eos>
<pad> halloween costume day home night <eos>
<pad> date girl dinner resolved end <eos>
<pad> wanted day scared home time <eos>
<pad> day wanted decided home back <eos>
<pad> gina day started time home <eos>
<pad> reading bookstore book returned found <eos>
<pad> vote thought started back ended <eos>
<pad> house decided restroom back home <eos>
<pad> room day clean told home <eos>
<pad> bake bread decided baked made <eos>
<pad> day wanted decided home back <eos>
<pad> swim pool swam teach swimming <eos>
<pad> singer sing stage sang band <eos>
<pad> laptop day bought buy home <eos>
<pad> bill day decided bread work <eos>
<pad> trip vacation finally back left <eos>
<pad> bake pie pies baked make <eos>
<pad> grass green decided minutes fired <eos>
<pad> dinner ingredients oven forgot burned <eos>
<pad> day wanted decided home back <eos>
<pad> friend house friends meet friendship <eos>
<pad> feeling day decided home eventually <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> aquarium day excited fun trip <eos>
<pad> day wanted decided home back <eos>
<pad> walk started house home <eos> anything
<pad> late house work ran back <eos>
<pad> week started day made home <eos>
<pad> day wanted decided home back <eos>
<pad> car day started lot home <eos>
<pad> park shot ball doctor team <eos>
<pad> car parents street finally put <eos>
<pad> week day decided end home <eos>
<pad> reading read book library books <eos>
<pad> bake bread decided baked made <eos>
<pad> river water day decided fun <eos>
<pad> photographer pictures picture photos love <eos>
<pad> day friends decided told home <eos>
<pad> wanted decided day back left <eos>
<pad> clock day time decided home <eos>
<pad> bake pie make baked sugar <eos>
<pad> friends win game day won <eos>
<pad> friend house friends day dog <eos>
<pad> doctor office feeling medicine feels <eos>
<pad> phone dropped screen pieces fix <eos>
<pad> game shot ball team <eos> points
<pad> day decided tournament won time <eos>
<pad> car day suddenly side work <eos>
<pad> smell figure cats eventually i <eos>
<pad> bar friends night left home <eos>
<pad> wanted money decided started time <eos>
<pad> dave day house bird home <eos>
<pad> house family day home leave <eos>
<pad> day decided money lot home <eos>
<pad> bill day decided hit home <eos>
<pad> riding bike fell crashed hurt <eos>
<pad> day drink finally happy <eos> i
<pad> wanted day decided home back <eos>
<pad> milk fridge poured cereal spoiled <eos>
<pad> day wanted decided thought home <eos>
<pad> tom day ran water home <eos>
<pad> wanted day walk back left <eos>
<pad> carrots tomatoes day work <eos> glad
<pad> wanted day decided home back <eos>
<pad> tom day decided time home <eos>
<pad> job applied jobs interview fired <eos>
<pad> work website day found fired <eos>
<pad> pregnant twins doctor baby <eos> he
<pad> job day back man <eos> i
<pad> game team win won basketball <eos>
<pad> wife day night work back <eos>
<pad> restaurant order ordered food minutes <eos>
<pad> mall missing find searched found <eos>
<pad> park day decided back man <eos>
<pad> wanted day shelter proud hospital <eos>
<pad> spring day planted backyard home <eos>
<pad> doctor painful hurt pain home <eos>
<pad> belt day decided tape tight <eos>
<pad> dinner ingredients food ate home <eos>
<pad> dress wear wore blue shopping <eos>
<pad> school class day eventually proud <eos>
<pad> day wanted decided home back <eos>
<pad> park dog shelter run home <eos>
<pad> glasses wore picked contacts happy <eos>
<pad> bus late stop waiting time <eos>
<pad> gina house day work home <eos>
<pad> friend day decided man home <eos>
<pad> day wanted decided home back <eos>
<pad> tea poured mug feels spilled <eos>
<pad> friend day decided lost work <eos>
<pad> hot water drank spilled <eos> burning
<pad> town wanted move arrived family <eos>
<pad> day wanted decided home back <eos>
<pad> cook recipes cooked learn served <eos>
<pad> snakes day thought home back <eos>
<pad> friend house friends talked friendship <eos>
<pad> job needed decided made happy <eos>
<pad> television wanted buy home decided <eos>
<pad> pregnant twins doctor baby <eos> he
<pad> game base day back <eos> anything
<pad> day started work man back <eos>
<pad> tom decided time back home <eos>
<pad> wanted day decided work home <eos>
<pad> tattoo parents decided hurt back <eos>
<pad> war win day won <eos> proud
<pad> store milk car home candy <eos>
<pad> park lost find missing found <eos>
<pad> gina back work thought home <eos>
<pad> day wanted decided home back <eos>
<pad> cupcakes wanted decided day home <eos>
<pad> bracelet day decided mom back <eos>
<pad> day wanted decided home back <eos>
<pad> job day money lost won <eos>
<pad> costume halloween trick time home <eos>
<pad> wear clothes put drink wash <eos>
<pad> day stop decided train missed <eos>
<pad> shave day beard weeks lot <eos>
<pad> car decided started day back <eos>
<pad> car day hand home back <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> house day decided home left <eos>
<pad> day wanted decided home back <eos>
<pad> house day clean toys back <eos>
<pad> anna day decided lot home <eos>
<pad> wanted day doctor back home <eos>
<pad> game goal day team won <eos>
<pad> car decided started day back <eos>
<pad> cat day heard back home <eos>
<pad> tom day decided letter left <eos>
<pad> john day decided asked home <eos>
<pad> park lost find back home <eos>
<pad> boots size buy store bought <eos>
<pad> prom date asked agreed resolved <eos>
<pad> feeling day hospital back left <eos>
<pad> day wanted decided home back <eos>
<pad> park birds day lot back <eos>
<pad> train day stop missed home <eos>
<pad> woke wanted day dream eventually <eos>
<pad> hunting shoot day shot glad <eos>
<pad> tom day pencil happened dropped <eos>
<pad> grandma house day back home <eos>
<pad> day wanted decided home back <eos>
<pad> day started practice found home <eos>
<pad> homework finish day work home <eos>
<pad> dress money saved stores found <eos>
<pad> wanted day decided home back <eos>
<pad> james cut started back hurt <eos>
<pad> mall parents mom lap left <eos>
<pad> buy gift box gifts make <eos>
<pad> wanted decided day put money <eos>
<pad> wear clothes dress put home <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day decided found love <eos>
<pad> chores parents clean spilled home <eos>
<pad> buy money decided bought gift <eos>
<pad> car decided started day back <eos>
<pad> hiking ran bear trail home <eos>
<pad> hiking trail hike lost glad <eos>
<pad> day money lot back home <eos>
<pad> hair day iron decided home <eos>
<pad> wanted day decided home back <eos>
<pad> day decided quit lot home <eos>
<pad> sky day fire scared left <eos>
<pad> anna cable decided called left <eos>
<pad> woods lost walk frightened back <eos>
<pad> roommate roommates house put night <eos>
<pad> gina house day decided back <eos>
<pad> day year lot scholarship proud <eos>
<pad> day wanted decided home back <eos>
<pad> car wind started storm damage <eos>
<pad> work day decided scared home <eos>
<pad> trash bag day minutes left <eos>
<pad> job day looked found home <eos>
<pad> house day decided back home <eos>
<pad> late traffic woke rushed time <eos>
<pad> work day decided hour home <eos>
<pad> toy dad toys mom gifts <eos>
<pad> feeling fever sick flu bed <eos>
<pad> day wanted decided home back <eos>
<pad> park lost find back woods <eos>
<pad> charles day found knee ring <eos>
<pad> computer slow upgrade parts virus <eos>
<pad> day wanted decided home back <eos>
<pad> girl wrote day love date <eos>
<pad> pumpkin birthday car time happy <eos>
<pad> vote day lot thought <eos> election
<pad> game ball play games team <eos>
<pad> reading book read bookstore <eos> camp
<pad> car hill fell hospital back <eos>
<pad> friends day decided asked home <eos>
<pad> day wanted decided home back <eos>
<pad> town day started lot back <eos>
<pad> day needed decided work home <eos>
<pad> car tire flat changed <eos> spare
<pad> election day started man <eos> vote
<pad> teacher class day school happy <eos>
<pad> tom sleep class room work <eos>
<pad> cup sip poured drank spilled <eos>
<pad> shoes money buy found pair <eos>
<pad> job day made decided make <eos>
<pad> dinner friends food guests family <eos>
<pad> exam nervous day class home <eos>
<pad> fire house ran alive flames <eos>
<pad> play friends day lot time <eos>
<pad> job day decided found happy <eos>
<pad> jack day decided put home <eos>
<pad> wanted day decided home back <eos>
<pad> night friends movie home time <eos>
<pad> day wanted decided home back <eos>
<pad> wanted decided day home back <eos>
<pad> day wanted decided home back <eos>
<pad> friends day decided mom home <eos>
<pad> speech nervous give made happy <eos>
<pad> wanted class decided lot school <eos>
<pad> bookstore read book found library <eos>
<pad> doctor needed day medicine rest <eos>
<pad> wanted day decided back home <eos>
<pad> tom day decided work left <eos>
<pad> day wanted decided thought home <eos>
<pad> wanted day decided doctor back <eos>
<pad> jeans holes rip wore brand <eos>
<pad> day wanted decided home back <eos>
<pad> actor family decided found glad <eos>
<pad> wanted day decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> hiking trail decided eventually rest <eos>
<pad> cat house cats back home <eos>
<pad> throw invited friends party home <eos>
<pad> trees day tree planted home <eos>
<pad> tom eye day told <eos> too
<pad> shot shoot ball shots team <eos>
<pad> boyfriend day love dates date <eos>
<pad> job work day doctor home <eos>
<pad> day dog chased ran home <eos>
<pad> movie day noticed decided home <eos>
<pad> wanted decided day lot home <eos>
<pad> computer turned parts virus found <eos>
<pad> dye day decided put home <eos>
<pad> day birthday doctor home pregnant <eos>
<pad> day wanted decided home back <eos>
<pad> house decided gifts back returned <eos>
<pad> bbq family decided oven night <eos>
<pad> day house asked back home <eos>
<pad> day decided started home happy <eos>
<pad> school day fight told time <eos>
<pad> phone phones dropped purchased happy <eos>
<pad> wanted day decided found love <eos>
<pad> tan day decided sun end <eos>
<pad> wanted day decided home back <eos>
<pad> house sky suddenly damage family <eos>
<pad> cold snow winter day year <eos>
<pad> car day started back home <eos>
<pad> cheese sandwiches day plate delicious <eos>
<pad> friends excited throw party home <eos>
<pad> wear clothes dress put <eos> someone
<pad> cook meals decided food meal <eos>
<pad> dance night dancing friends time <eos>
<pad> tom decided started eventually <eos> never
<pad> dinner decided rice eat home <eos>
<pad> day run started hit home <eos>
<pad> rice cooked resolved eat i <eos>
<pad> spaghetti scratch sauce dinner cooking <eos>
<pad> gina day decided back told <eos>
<pad> friend needed day decided home <eos>
<pad> day wanted decided home back <eos>
<pad> sandals afraid day people glad <eos>
<pad> day wanted decided home back <eos>
<pad> house day started water back <eos>
<pad> buy money store bought wore <eos>
<pad> bed kitchen slept night made <eos>
<pad> ink throw made good work <eos>
<pad> day wanted friends win won <eos>
<pad> diagnosed treatment cancer doctor hospital <eos>
<pad> job day made put home <eos>
<pad> day wanted decided home back <eos>
<pad> friends wanted decided night home <eos>
<pad> car license nervous day test <eos>
<pad> contest entered win compete won <eos>
<pad> wanted day decided home back <eos>
<pad> wanted buy gift gifts box <eos>
<pad> fire house ran alive flames <eos>
<pad> taxi day car eventually home <eos>
<pad> watch buy decided day tv <eos>
<pad> tom client meeting work <eos> never
<pad> day decided doctor home <eos> glad
<pad> james day politics lot back <eos>
<pad> wanted day decided made home <eos>
<pad> friend day decided night home <eos>
<pad> car drive money work home <eos>
<pad> birthday cake decided oven make <eos>
<pad> wanted dreamed star published happy <eos>
<pad> day house ran found home <eos>
<pad> clock house broken morning fix <eos>
<pad> day wanted decided home back <eos>
<pad> beach frisbee water back home <eos>
<pad> family vacation decided day trip <eos>
<pad> anita day started mom home <eos>
<pad> park lost find back woods <eos>
<pad> tom decided day work time <eos>
<pad> fred traffic stuck finally home <eos>
<pad> ring day told found decision <eos>
<pad> job applied resume interview work <eos>
<pad> park lost find back left <eos>
<pad> tom burgers food minutes home <eos>
<pad> lauren wanted day pregnant home <eos>
<pad> brownies batter decided kitchen mixed <eos>
<pad> zoo animals kids monkeys happy <eos>
<pad> day wanted decided home back <eos>
<pad> snow day cold morning night <eos>
<pad> dentist wanted tooth appointment home <eos>
<pad> day wanted decided thought home <eos>
<pad> dolls day made work happy <eos>
<pad> tom day made lot home <eos>
<pad> wanted nervous day earthquake home <eos>
<pad> day wanted decided home back <eos>
<pad> jim watch day found <eos> i
<pad> glasses day told wore happy <eos>
<pad> park lost find back left <eos>
<pad> car key missing find lost <eos>
<pad> kite wind air sky happy <eos>
<pad> glasses day feared told glad <eos>
<pad> job day made found home <eos>
<pad> friends night game decided won <eos>
<pad> car money decided found home <eos>
<pad> tom day found back eventually <eos>
<pad> job applied interview work fired <eos>
<pad> day write report began man <eos>
<pad> zoo animals elephants monkeys home <eos>
<pad> car day accident hurt hospital <eos>
<pad> hurricane sky suddenly storm damage <eos>
<pad> car race fast faster raced <eos>
<pad> work day lot time home <eos>
<pad> play day game won proud <eos>
<pad> wanted friends decided day home <eos>
<pad> college day accepted decided proud <eos>
<pad> game ball team games won <eos>
<pad> samantha parents day found boyfriend <eos>
<pad> wanted worked model day happy <eos>
<pad> park day lost find back <eos>
<pad> sam eye buy happy <eos> too
<pad> running house run ran home <eos>
<pad> airplane plane nervous scared family <eos>
<pad> wanted day decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> tom day started decided returned <eos>
<pad> shoes money buy found pair <eos>
<pad> mail mailbox mailman day <eos> send
<pad> cheerleader team game won star <eos>
<pad> paris wanted decided lot glad <eos>
<pad> snowman snow build built hat <eos>
<pad> bees day stung back <eos> i
<pad> wife day lot asked home <eos>
<pad> feeling day doctor sick home <eos>
<pad> car money drive found brand <eos>
<pad> wanted decided made work home <eos>
<pad> drink water clean cleaned back <eos>
<pad> sky day dive decided back <eos>
<pad> neighbors introduce day finally back <eos>
<pad> day wanted life told man <eos>
<pad> money friends pay ticket decided <eos>
<pad> house day decided back fly <eos>
<pad> leaves fall suddenly fell back <eos>
<pad> sushi wanted good dinner ended <eos>
<pad> story write day decided home <eos>
<pad> work broken broke ankle fell <eos>
<pad> day wanted decided home back <eos>
<pad> gina day call answer called <eos>
<pad> job day decided made home <eos>
<pad> nervous studied test failed pass <eos>
<pad> day wanted decided home back <eos>
<pad> store needed day closed home <eos>
<pad> restaurant hungry food dinner home <eos>
<pad> car drive day home tom <eos>
<pad> anita day walk home friends <eos>
<pad> pregnant wanted day back family <eos>
<pad> cheese sandwiches plate delicious home <eos>
<pad> bike rode bicycle found bought <eos>
<pad> wanted rode decided back home <eos>
<pad> money samples decided walked returned <eos>
<pad> day scared heard home bed <eos>
<pad> car decided day started back <eos>
<pad> wanted day decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> job nervous finally happy teacher <eos>
<pad> pie make pies baked cookies <eos>
<pad> tom phone battery purchased i <eos>
<pad> play lines audition game night <eos>
<pad> wanted friends day feels glad <eos>
<pad> john gas car low <eos> i
<pad> vacation day hotel family trip <eos>
<pad> son day decided put home <eos>
<pad> bob day walk finally home <eos>
<pad> date asked dinner agreed resolved <eos>
<pad> doll mom mother day happy <eos>
<pad> wanted day decided home back <eos>
<pad> park walk rain rained home <eos>
<pad> eat decided dinner food home <eos>
<pad> restaurant day food home left <eos>
<pad> day wanted decided home back <eos>
<pad> bus stop time arrived home <eos>
<pad> tom day lot back happy <eos>
<pad> movie wanted theater movies decided <eos>
<pad> park lost find back left <eos>
<pad> daughter day started eventually happy <eos>
<pad> tom note played find answer <eos>
<pad> beach day lot back home <eos>
<pad> gina day decided started home <eos>
<pad> mall shopping items store home <eos>
<pad> cigarette smoke day smoking <eos> stitches
<pad> detention class day made school <eos>
<pad> car low tire back <eos> someone
<pad> gym day workout lot home <eos>
<pad> late rushed overslept warning work <eos>
<pad> vacation hotel time decided family <eos>
<pad> wanted parents decided happy proud <eos>
<pad> car decided day mistake home <eos>
<pad> rent needed buy put happy <eos>
<pad> frisbee looked lost back find <eos>
<pad> phone dropped phones silent screen <eos>
<pad> james day water leg glad <eos>
<pad> car day accident hurt hospital <eos>
<pad> fair wanted rides lot home <eos>
<pad> gina day decided back left <eos>
<pad> wanted parents day found night <eos>
<pad> army wanted day time proud <eos>
<pad> play ball game day catch <eos>
<pad> wanted day steal money stole <eos>
<pad> day wanted decided home back <eos>
<pad> car money drive found brand <eos>
<pad> wanted day decided home back <eos>
<pad> smell figure cats eventually i <eos>
<pad> pregnant sleep loud hospital back <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day game goal team <eos>
<pad> cheese sandwiches plate delicious home <eos>
<pad> wanted day decided home back <eos>
<pad> nervous test pass failed day <eos>
<pad> friends party day throw home <eos>
<pad> job day made work man <eos>
<pad> dinner day ordered pizza ate <eos>
<pad> watch day set lot gold <eos>
<pad> wanted sleep bed morning home <eos>
<pad> night scared sleep home door <eos>
<pad> window couch day call tom <eos>
<pad> wanted decided day finally home <eos>
<pad> house day ride home family <eos>
<pad> yard house snake ran home <eos>
<pad> alligator day water home waves <eos>
<pad> house day walk home rest <eos>
<pad> day wanted decided home back <eos>
<pad> dress money dresses wear found <eos>
<pad> pregnant wanted day shocked happy <eos>
<pad> day wanted decided home back <eos>
<pad> night friends bar time home <eos>
<pad> wanted day decided lot night <eos>
<pad> wanted day decided time home <eos>
<pad> family house day home back <eos>
<pad> bee word day words won <eos>
<pad> bike rode ride day back <eos>
<pad> speech nervous give made happy <eos>
<pad> park day decided back left <eos>
<pad> tom seat started back left <eos>
<pad> bake day bread made happy <eos>
<pad> car license day driver home <eos>
<pad> tom restaurant food back home <eos>
<pad> mall wanted mom santa home <eos>
<pad> night friends decided time home <eos>
<pad> day wanted decided home back <eos>
<pad> class gym started day work <eos>
<pad> watching couch broke fix screen <eos>
<pad> rat house suddenly day home <eos>
<pad> day wanted decided home back <eos>
<pad> day money decided farmer home <eos>
<pad> school nervous day work happy <eos>
<pad> arm day broken broke hospital <eos>
<pad> wanted day friends home time <eos>
<pad> dinner day decided back home <eos>
<pad> dinner day decided corn home <eos>
<pad> wanted day decided finally home <eos>
<pad> wanted day decided home back <eos>
<pad> paint wanted painter put decided <eos>
<pad> peter day decided excited home <eos>
<pad> dance nervous asked danced wait <eos>
<pad> band wanted day members made <eos>
<pad> wanted jealous decided day left <eos>
<pad> wanted day decided back happy <eos>
<pad> wanted decided day home left <eos>
<pad> massage worked work day <eos> he
<pad> wanted decided day home left <eos>
<pad> laptop fix screen upset replacement <eos>
<pad> vase house day broke pieces <eos>
<pad> spiders spider screamed room doctor <eos>
<pad> wanted decides day finally home <eos>
<pad> lake water shore swam time <eos>
<pad> job day work worked life <eos>
<pad> rat day morning home found <eos>
<pad> costume halloween trick time home <eos>
<pad> dan wanted day finally jail <eos>
<pad> job bank day money work <eos>
<pad> swim pool swam teach swimming <eos>
<pad> day fast work eventually home <eos>
<pad> wanted house day decided home <eos>
<pad> clowns circus clown parties airplane <eos>
<pad> day wanted decided home back <eos>
<pad> job day found left happy <eos>
<pad> job day cigarette left <eos> fired
<pad> learn friends day eventually time <eos>
<pad> dog day home minutes <eos> he
<pad> job wanted day eventually year <eos>
<pad> wanted day boy home proud <eos>
<pad> wanted decided day asked back <eos>
<pad> day wanted decided home back <eos>
<pad> dinner asked made man home <eos>
<pad> day wanted decided home back <eos>
<pad> gun day started decided found <eos>
<pad> bar friends fight made time <eos>
<pad> restaurant menu food waiter meal <eos>
<pad> night bed time sleep home <eos>
<pad> kittens kitten day home mother <eos>
<pad> car tire flat changed <eos> spare
<pad> photographer photos lot left home <eos>
<pad> wanted day decided doctor left <eos>
<pad> day wanted decided home back <eos>
<pad> movie night decided home time <eos>
<pad> james day time lot home <eos>
<pad> game ball team losing won <eos>
<pad> wanted eat eating ate glad <eos>
<pad> trip lake boat back time <eos>
<pad> pair pants tight buy happy <eos>
<pad> park day put hospital home <eos>
<pad> cat day pet found home <eos>
<pad> mail day mailbox mailman home <eos>
<pad> tom fridge juice poured drink <eos>
<pad> race faster track won ankle <eos>
<pad> dinner ingredients cooked food meal <eos>
<pad> lunch eat decided food home <eos>
<pad> day wanted decided home back <eos>
<pad> drunk drink drinking asked back <eos>
<pad> wanted day decided put pleased <eos>
<pad> wanted day decided home back <eos>
<pad> wanted day decided mom home <eos>
<pad> school fight fought started suspended <eos>
<pad> boat day water decided home <eos>
<pad> movie scary theater decided tom <eos>
<pad> wanted brother girl mom home <eos>
<pad> arnold afraid day fear home <eos>
<pad> job day decided work feels <eos>
<pad> skateboard trick fell put back <eos>
<pad> girl love met dates fell <eos>
<pad> day boat water decided glad <eos>
<pad> car drive hurt accident driver <eos>
<pad> friends day coming shocked home <eos>
<pad> cup sip sugar coffee made <eos>
<pad> bike rode bicycle stolen stole <eos>
<pad> tom couch remote find work <eos>
<pad> cat pet day cats home <eos>
<pad> dan day hospital eventually left <eos>
<pad> shoes ugly pair eventually found <eos>
<pad> girl day friends work love <eos>
<pad> bike rode day fell crashed <eos>
<pad> balloon sky popped blew bought <eos>
<pad> nervous school day walk end <eos>
<pad> reading read night sleep home <eos>
<pad> running run started eventually back <eos>
<pad> cup sip day drink coffee <eos>
<pad> mike write story day book <eos>
<pad> day funeral found eventually life <eos>
<pad> nervous class test cheat study <eos>
<pad> dentist brush teeth mouth cavities <eos>
<pad> tea mug poured water delicious <eos>
<pad> car day build started home <eos>
<pad> dogs dog day time home <eos>
<pad> bus late stop time door <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> friend day decided back home <eos>
<pad> day wanted decided home back <eos>
<pad> work day back hospital fell <eos>
<pad> game played win won goal <eos>
<pad> car day boy night home <eos>
<pad> zoo animals elephants monkeys home <eos>
<pad> friends day play game won <eos>
<pad> car money store decided home <eos>
<pad> job day girl finally happy <eos>
<pad> park trail day lot home <eos>
<pad> bake ingredients bread decided baked <eos>
<pad> tom day started home back <eos>
<pad> randy wanted decides love glad <eos>
<pad> wanted train stop decided missed <eos>
<pad> house day decided home work <eos>
<pad> camping packed set tent wait <eos>
<pad> dinner hungry decided food home <eos>
<pad> day wanted decided home back <eos>
<pad> work bears decided finally happy <eos>
<pad> makeup wedding day lot home <eos>
<pad> day wanted decided put home <eos>
<pad> bet money game win back <eos>
<pad> wanted day decided put home <eos>
<pad> running ran run scared home <eos>
<pad> car tire flat changed <eos> spare
<pad> roommate roommates night put back <eos>
<pad> cruise family day ship home <eos>
<pad> skating skates fell ice skate <eos>
<pad> gina house ran scared home <eos>
<pad> army wanted day time proud <eos>
<pad> work late overslept warning time <eos>
<pad> today wedding day aisle married <eos>
<pad> billy day decided friends time <eos>
<pad> work worked day job boss <eos>
<pad> car money wrong price tom <eos>
<pad> pool swim day closed home <eos>
<pad> day wanted decided home back <eos>
<pad> car day suddenly hospital hurt <eos>
<pad> wanted decided buy melted home <eos>
<pad> keyboard ipad decided found home <eos>
<pad> swim water bottle drink drank <eos>
<pad> day wanted decided home back <eos>
<pad> tired sleep stayed decided work <eos>
